Country,Population
World,8119000000
China,1409670000
"1,404,910,000",17.2%
United States,340110988
Indonesia,282477584
Pakistan,241499431
Nigeria,223800000
Brazil,203080756
Bangladesh,169828911
Russia,146150789
Mexico,130154247
Japan,123740000
Philippines,114163719
Democratic Republic of the Congo,110963802
Ethiopia,109499000
Egypt,105914499
Vietnam,100309210
Iran,85961000
Turkey,85372377
Germany,84708010
France,68551000
United Kingdom,68265209
Thailand,65969270
South Africa,63015904
Tanzania,61741120
Italy,58968499
Myanmar,56712559
Colombia,52695952
Kenya,52428290
South Korea,51248233
Sudan,50448963
Spain,48946035
Argentina,47067441
Algeria,46700000
Uganda,45935046
Iraq,44414800
Afghanistan,43213316
Canada,41465298
Poland,37532000
Uzbekistan,37355356
Morocco,36828330
Angola,35121734
Malaysia,34112400
Peru,34038457
Ukraine,33443000
Mozambique,33244414
Ghana,33007618
Yemen,32305264
Saudi Arabia,32175224
Madagascar,30811969
Ivory Coast,29389150
Nepal,29164578
Cameroon,28758503
Venezuela,28405543
Australia,27204800
Niger,26312034
North Korea,25950000
Syria,24672760
Burkina Faso,23409015
Taiwan,23402804
Mali,22395489
Sri Lanka,21916000
Malawi,20270568
Kazakhstan,20243981
Chile,20086377
Zambia,19610769
Romania,19064409
Somalia,19009151
Chad,18675547
Senegal,18126390
Netherlands,18038726
Guatemala,17843132
Cambodia,17336307
Ecuador,16938986
Zimbabwe,16751469
South Sudan,15254268
Rwanda,13798561
Guinea,13261638
Benin,12910087
Burundi,12837740
Haiti,12394537
Tunisia,11887412
Belgium,11861621
Papua New Guinea,11781559
Jordan,11516000
Bolivia,11312620
Cuba,11089511
Czech Republic,10879069
Dominican Republic,10771504
United Arab Emirates,10678556
Portugal,10639726
Sweden,10587276
Greece,10413982
Tajikistan,10277100
Azerbaijan,10214441
Israel,10003000
Honduras,9892632
Hungary,9584627
Austria,9198124
Belarus,9155978
Switzerland,9027859
Sierra Leone,8884032
Togo,8095498
Laos,7546000
Hong Kong (China),7531800
Libya,7381023
Kyrgyzstan,7161900
Turkmenistan,7057841
Nicaragua,6803886
Serbia,6605168
Central African Republic,6470307
Bulgaria,6445481
El Salvador,6351000
Republic of the Congo,6142180
Paraguay,6109644
Singapore,6036900
Denmark,5989985
Finland,5635560
Norway,5585044
Lebanon,5490000
Palestine,5483450
Slovakia,5421272
Ireland,5380300
New Zealand,5348600
Costa Rica,5309625
Oman,5252608
Liberia,5248621
Mauritania,4927532
Kuwait,4913271
Panama,4064780
Croatia,3859686
Georgia,3694600
Eritrea,3535603
Mongolia,3504741
Uruguay,3444263
Bosnia and Herzegovina,3264873
Puerto Rico (US),3205691
Armenia,3039700
Namibia,3022401
Lithuania,2897443
Qatar,2857822
Jamaica,2825544
Moldova,2423300
Gambia,2417471
Botswana,2410338
Gabon,2408586
Albania,2402113
Lesotho,2306000
Slovenia,2126324
Latvia,1857400
North Macedonia,1826247
Guinea-Bissau,1781308
Bahrain,1588670
Kosovo,1585566
Equatorial Guinea,1558160
Estonia,1374687
East Timor,1373024
Trinidad and Tobago,1368333
Mauritius,1259509
Eswatini,1235549
Djibouti,1066809
Cyprus,918100
Fiji,900869
Comoros,900141
Bhutan,777224
Guyana,772975
Solomon Islands,750325
Macau (China),686600
Luxembourg,672050
Montenegro,623633
Suriname,616500
Western Sahara,590506
Malta,542051
Maldives,515132
Cape Verde,491233
Northern Cyprus,476214
Brunei,450500
Belize,410919
Bahamas,398165
Iceland,388790
Transnistria,360938
Vanuatu,321409
French Polynesia (France),279890
New Caledonia (France),268510
Barbados,267800
Abkhazia,244236
São Tomé and Príncipe,228319
Samoa,205557
Saint Lucia,184100
Curaçao (Netherlands),155826
Guam (US),153836
Seychelles,121355
Kiribati,120740
Grenada,112579
Saint Vincent and the Grenadines,110872
Aruba (Netherlands),107566
Micronesia,105754
Antigua and Barbuda,103603
Jersey (UK),103267
Tonga,100179
U.S. Virgin Islands (US),87146
Andorra,86801
Cayman Islands (UK),84738
Isle of Man (UK),84530
Dominica,67408
Guernsey (UK),64781
Bermuda (UK),64055
Greenland (Denmark),56865
South Ossetia,56520
Faroe Islands (Denmark),54668
Saint Kitts and Nevis,51320
American Samoa (US),49710
Turks and Caicos Islands (UK),49309
Northern Mariana Islands (US),47329
Marshall Islands,42418
Sint Maarten (Netherlands),41349
Liechtenstein,40015
Monaco,38367
Gibraltar (UK),34003
San Marino,33987
Saint Martin (France),32358
British Virgin Islands (UK),31538
Palau,16733
Anguilla (UK),15780
Cook Islands,15040
Nauru,11680
Wallis and Futuna (France),11620
Tuvalu,10679
Saint Barthélemy (France),10585
Saint Pierre and Miquelon (France),6092
"Saint Helena, Ascension and Tristan da Cunha (UK)",5651
Montserrat (UK),4386
Falkland Islands (UK),3662
Norfolk Island (Australia),2188
Christmas Island (Australia),1692
Niue (New Zealand),1681
Tokelau (New Zealand),1647
Vatican City,764
Cocos (Keeling) Islands (Australia),593
Pitcairn Islands (UK),35
